"State","Year.Month","Report.Number"
"AA",2014-09-01,0
"AA",2014-10-01,0
"AA",2014-11-01,0
"AA",2014-12-01,0
"AA",2015-01-01,0
"AA",2015-02-01,0
"AA",2015-03-01,0
"AA",2015-04-01,0
"AA",2015-05-01,0
"AA",2015-06-01,0
"AA",2015-07-01,0
"AA",2015-08-01,0
"AA",2015-09-01,0
"AA",2015-10-01,0
"AA",2015-11-01,0
"AA",2015-12-01,0
"AA",2016-01-01,0
"AA",2016-02-01,0
"AA",2016-03-01,0
"AA",2016-04-01,0
"AA",2016-05-01,0
"AA",2016-06-01,0
"AA",2016-07-01,0
"AA",2016-08-01,0
"AA",2016-09-01,0
"AK",2000-01-01,3
"AK",2000-02-01,1
"AK",2000-03-01,2
"AK",2000-04-01,6
"AK",2000-05-01,3
"AK",2000-06-01,3
"AK",2000-07-01,4
"AK",2000-08-01,2
"AK",2000-09-01,3
"AK",2000-10-01,7
"AK",2000-11-01,8
"AK",2000-12-01,3
"AK",2001-01-01,1
"AK",2001-02-01,0
"AK",2001-03-01,0
"AK",2001-04-01,3
"AK",2001-05-01,1
"AK",2001-06-01,3
"AK",2001-07-01,0
"AK",2001-08-01,3
"AK",2001-09-01,4
"AK",2001-10-01,4
"AK",2001-11-01,0
"AK",2001-12-01,0
"AK",2002-01-01,0
"AK",2002-02-01,0
"AK",2002-03-01,0
"AK",2002-04-01,2
"AK",2002-05-01,0
"AK",2002-06-01,0
"AK",2002-07-01,0
"AK",2002-08-01,6
"AK",2002-09-01,0
"AK",2002-10-01,0
"AK",2002-11-01,2
"AK",2002-12-01,0
"AK",2003-01-01,0
"AK",2003-02-01,0
"AK",2003-03-01,2
"AK",2003-04-01,0
"AK",2003-05-01,1
"AK",2003-06-01,1
"AK",2003-07-01,1
"AK",2003-08-01,0
"AK",2003-09-01,0
"AK",2003-10-01,0
"AK",2003-11-01,0
"AK",2003-12-01,1
"AK",2004-01-01,3
"AK",2004-02-01,0
"AK",2004-03-01,2
"AK",2004-04-01,1
"AK",2004-05-01,0
"AK",2004-06-01,5
"AK",2004-07-01,2
"AK",2004-08-01,0
"AK",2004-09-01,0
"AK",2004-10-01,1
"AK",2004-11-01,2
"AK",2004-12-01,2
"AK",2005-01-01,2
"AK",2005-02-01,2
"AK",2005-03-01,2
"AK",2005-04-01,8
"AK",2005-05-01,3
"AK",2005-06-01,5
"AK",2005-07-01,4
"AK",2005-08-01,8
"AK",2005-09-01,8
"AK",2005-10-01,2
"AK",2005-11-01,3
"AK",2005-12-01,2
"AK",2006-01-01,1
"AK",2006-02-01,3
"AK",2006-03-01,2
"AK",2006-04-01,2
"AK",2006-05-01,2
"AK",2006-06-01,9
"AK",2006-07-01,1
"AK",2006-08-01,12
"AK",2006-09-01,5
"AK",2006-10-01,3
"AK",2006-11-01,1
"AK",2006-12-01,8
"AK",2007-01-01,2
"AK",2007-02-01,5
"AK",2007-03-01,5
"AK",2007-04-01,2
"AK",2007-05-01,6
"AK",2007-06-01,5
"AK",2007-07-01,3
"AK",2007-08-01,4
"AK",2007-09-01,6
"AK",2007-10-01,3
"AK",2007-11-01,0
"AK",2007-12-01,6
"AK",2008-01-01,1
"AK",2008-02-01,2
"AK",2008-03-01,5
"AK",2008-04-01,5
"AK",2008-05-01,4
"AK",2008-06-01,8
"AK",2008-07-01,8
"AK",2008-08-01,9
"AK",2008-09-01,5
"AK",2008-10-01,7
"AK",2008-11-01,11
"AK",2008-12-01,17
"AK",2009-01-01,26
"AK",2009-02-01,13
"AK",2009-03-01,16
"AK",2009-04-01,17
"AK",2009-05-01,12
"AK",2009-06-01,23
"AK",2009-07-01,20
"AK",2009-08-01,14
"AK",2009-09-01,21
"AK",2009-10-01,9
"AK",2009-11-01,6
"AK",2009-12-01,4
"AK",2010-01-01,4
"AK",2010-02-01,8
"AK",2010-03-01,9
"AK",2010-04-01,9
"AK",2010-05-01,6
"AK",2010-06-01,10
"AK",2010-07-01,18
"AK",2010-08-01,7
"AK",2010-09-01,15
"AK",2010-10-01,18
"AK",2010-11-01,11
"AK",2010-12-01,7
"AK",2011-01-01,2
"AK",2011-02-01,13
"AK",2011-03-01,9
"AK",2011-04-01,13
"AK",2011-05-01,11
"AK",2011-06-01,15
"AK",2011-07-01,9
"AK",2011-08-01,11
"AK",2011-09-01,14
"AK",2011-10-01,8
"AK",2011-11-01,13
"AK",2011-12-01,9
"AK",2012-01-01,10
"AK",2012-02-01,5
"AK",2012-03-01,7
"AK",2012-04-01,8
"AK",2012-05-01,16
"AK",2012-06-01,27
"AK",2012-07-01,29
"AK",2012-08-01,20
"AK",2012-09-01,11
"AK",2012-10-01,18
"AK",2012-11-01,9
"AK",2012-12-01,19
"AK",2013-01-01,16
"AK",2013-02-01,8
"AK",2013-03-01,12
"AK",2013-04-01,15
"AK",2013-05-01,18
"AK",2013-06-01,16
"AK",2013-07-01,19
"AK",2013-08-01,15
"AK",2013-09-01,11
"AK",2013-10-01,16
"AK",2013-11-01,10
"AK",2013-12-01,12
"AK",2014-01-01,13
"AK",2014-02-01,8
"AK",2014-03-01,19
"AK",2014-04-01,16
"AK",2014-05-01,8
"AK",2014-06-01,12
"AK",2014-07-01,30
"AK",2014-08-01,18
"AK",2014-09-01,18
"AK",2014-10-01,9
"AK",2014-11-01,13
"AK",2014-12-01,11
"AK",2015-01-01,12
"AK",2015-02-01,3
"AK",2015-03-01,8
"AK",2015-04-01,20
"AK",2015-05-01,24
"AK",2015-06-01,15
"AK",2015-07-01,6
"AK",2015-08-01,10
"AK",2015-09-01,10
"AK",2015-10-01,5
"AK",2015-11-01,3
"AK",2015-12-01,6
"AK",2016-01-01,8
"AK",2016-02-01,4
"AK",2016-03-01,6
"AK",2016-04-01,8
"AK",2016-05-01,7
"AK",2016-06-01,6
"AK",2016-07-01,13
"AK",2016-08-01,13
"AK",2016-09-01,5
"AL",2000-01-01,17
"AL",2000-02-01,14
"AL",2000-03-01,24
"AL",2000-04-01,18
"AL",2000-05-01,22
"AL",2000-06-01,23
"AL",2000-07-01,19
"AL",2000-08-01,30
"AL",2000-09-01,20
"AL",2000-10-01,11
"AL",2000-11-01,11
"AL",2000-12-01,11
"AL",2001-01-01,18
"AL",2001-02-01,11
"AL",2001-03-01,25
"AL",2001-04-01,15
"AL",2001-05-01,16
"AL",2001-06-01,25
"AL",2001-07-01,20
"AL",2001-08-01,22
"AL",2001-09-01,19
"AL",2001-10-01,15
"AL",2001-11-01,11
"AL",2001-12-01,12
"AL",2002-01-01,15
"AL",2002-02-01,11
"AL",2002-03-01,20
"AL",2002-04-01,21
"AL",2002-05-01,17
"AL",2002-06-01,20
"AL",2002-07-01,23
"AL",2002-08-01,19
"AL",2002-09-01,12
"AL",2002-10-01,18
"AL",2002-11-01,10
"AL",2002-12-01,10
"AL",2003-01-01,15
"AL",2003-02-01,16
"AL",2003-03-01,14
"AL",2003-04-01,13
"AL",2003-05-01,17
"AL",2003-06-01,16
"AL",2003-07-01,28
"AL",2003-08-01,21
"AL",2003-09-01,20
"AL",2003-10-01,14
"AL",2003-11-01,14
"AL",2003-12-01,11
"AL",2004-01-01,16
"AL",2004-02-01,9
"AL",2004-03-01,23
"AL",2004-04-01,16
"AL",2004-05-01,20
"AL",2004-06-01,14
"AL",2004-07-01,22
"AL",2004-08-01,11
"AL",2004-09-01,11
"AL",2004-10-01,14
"AL",2004-11-01,7
"AL",2004-12-01,8
"AL",2005-01-01,10
"AL",2005-02-01,14
"AL",2005-03-01,16
"AL",2005-04-01,9
"AL",2005-05-01,22
"AL",2005-06-01,29
"AL",2005-07-01,16
"AL",2005-08-01,24
"AL",2005-09-01,22
"AL",2005-10-01,22
"AL",2005-11-01,15
"AL",2005-12-01,19
"AL",2006-01-01,10
"AL",2006-02-01,15
"AL",2006-03-01,14
"AL",2006-04-01,26
"AL",2006-05-01,36
"AL",2006-06-01,27
"AL",2006-07-01,19
"AL",2006-08-01,22
"AL",2006-09-01,23
"AL",2006-10-01,20
"AL",2006-11-01,14
"AL",2006-12-01,16
"AL",2007-01-01,19
"AL",2007-02-01,16
"AL",2007-03-01,16
"AL",2007-04-01,19
"AL",2007-05-01,19
"AL",2007-06-01,19
"AL",2007-07-01,22
"AL",2007-08-01,19
"AL",2007-09-01,13
"AL",2007-10-01,18
"AL",2007-11-01,24
"AL",2007-12-01,15
"AL",2008-01-01,15
"AL",2008-02-01,13
"AL",2008-03-01,14
"AL",2008-04-01,16
"AL",2008-05-01,15
"AL",2008-06-01,10
"AL",2008-07-01,12
"AL",2008-08-01,10
"AL",2008-09-01,14
"AL",2008-10-01,16
"AL",2008-11-01,8
"AL",2008-12-01,8
"AL",2009-01-01,18
"AL",2009-02-01,6
"AL",2009-03-01,7
"AL",2009-04-01,9
"AL",2009-05-01,7
"AL",2009-06-01,12
"AL",2009-07-01,16
"AL",2009-08-01,13
"AL",2009-09-01,16
"AL",2009-10-01,10
"AL",2009-11-01,9
"AL",2009-12-01,6
"AL",2010-01-01,14
"AL",2010-02-01,10
"AL",2010-03-01,14
"AL",2010-04-01,18
"AL",2010-05-01,17
"AL",2010-06-01,16
"AL",2010-07-01,16
"AL",2010-08-01,18
"AL",2010-09-01,18
"AL",2010-10-01,14
"AL",2010-11-01,15
"AL",2010-12-01,10
"AL",2011-01-01,10
"AL",2011-02-01,16
"AL",2011-03-01,21
"AL",2011-04-01,19
"AL",2011-05-01,11
"AL",2011-06-01,23
"AL",2011-07-01,17
"AL",2011-08-01,15
"AL",2011-09-01,15
"AL",2011-10-01,17
"AL",2011-11-01,11
"AL",2011-12-01,9
"AL",2012-01-01,13
"AL",2012-02-01,8
"AL",2012-03-01,10
"AL",2012-04-01,14
"AL",2012-05-01,16
"AL",2012-06-01,23
"AL",2012-07-01,24
"AL",2012-08-01,14
"AL",2012-09-01,17
"AL",2012-10-01,17
"AL",2012-11-01,13
"AL",2012-12-01,17
"AL",2013-01-01,14
"AL",2013-02-01,16
"AL",2013-03-01,12
"AL",2013-04-01,21
"AL",2013-05-01,14
"AL",2013-06-01,24
"AL",2013-07-01,19
"AL",2013-08-01,22
"AL",2013-09-01,19
"AL",2013-10-01,24
"AL",2013-11-01,13
"AL",2013-12-01,11
"AL",2014-01-01,7
"AL",2014-02-01,17
"AL",2014-03-01,13
"AL",2014-04-01,22
"AL",2014-05-01,13
"AL",2014-06-01,19
"AL",2014-07-01,21
"AL",2014-08-01,22
"AL",2014-09-01,20
"AL",2014-10-01,22
"AL",2014-11-01,12
"AL",2014-12-01,13
"AL",2015-01-01,28
"AL",2015-02-01,20
"AL",2015-03-01,18
"AL",2015-04-01,14
"AL",2015-05-01,14
"AL",2015-06-01,20
"AL",2015-07-01,14
"AL",2015-08-01,19
"AL",2015-09-01,24
"AL",2015-10-01,17
"AL",2015-11-01,27
"AL",2015-12-01,20
"AL",2016-01-01,15
"AL",2016-02-01,13
"AL",2016-03-01,27
"AL",2016-04-01,23
"AL",2016-05-01,10
"AL",2016-06-01,28
"AL",2016-07-01,17
"AL",2016-08-01,20
"AL",2016-09-01,6
"AR",2000-01-01,17
"AR",2000-02-01,22
"AR",2000-03-01,13
"AR",2000-04-01,16
"AR",2000-05-01,18
"AR",2000-06-01,22
"AR",2000-07-01,18
"AR",2000-08-01,29
"AR",2000-09-01,22
"AR",2000-10-01,25
"AR",2000-11-01,11
"AR",2000-12-01,13
"AR",2001-01-01,10
"AR",2001-02-01,11
"AR",2001-03-01,13
"AR",2001-04-01,11
"AR",2001-05-01,17
"AR",2001-06-01,24
"AR",2001-07-01,24
"AR",2001-08-01,22
"AR",2001-09-01,23
"AR",2001-10-01,13
"AR",2001-11-01,10
"AR",2001-12-01,8
"AR",2002-01-01,11
"AR",2002-02-01,13
"AR",2002-03-01,11
"AR",2002-04-01,18
"AR",2002-05-01,14
"AR",2002-06-01,17
"AR",2002-07-01,16
"AR",2002-08-01,23
"AR",2002-09-01,18
"AR",2002-10-01,16
"AR",2002-11-01,12
"AR",2002-12-01,8
"AR",2003-01-01,11
"AR",2003-02-01,9
"AR",2003-03-01,8
"AR",2003-04-01,12
"AR",2003-05-01,10
"AR",2003-06-01,18
"AR",2003-07-01,18
"AR",2003-08-01,21
"AR",2003-09-01,9
"AR",2003-10-01,12
"AR",2003-11-01,12
"AR",2003-12-01,8
"AR",2004-01-01,7
"AR",2004-02-01,3
"AR",2004-03-01,8
"AR",2004-04-01,15
"AR",2004-05-01,13
"AR",2004-06-01,14
"AR",2004-07-01,18
"AR",2004-08-01,16
"AR",2004-09-01,16
"AR",2004-10-01,11
"AR",2004-11-01,12
"AR",2004-12-01,9
"AR",2005-01-01,11
"AR",2005-02-01,16
"AR",2005-03-01,14
"AR",2005-04-01,15
"AR",2005-05-01,13
"AR",2005-06-01,18
"AR",2005-07-01,19
"AR",2005-08-01,27
"AR",2005-09-01,21
"AR",2005-10-01,20
"AR",2005-11-01,9
"AR",2005-12-01,16
"AR",2006-01-01,11
"AR",2006-02-01,19
"AR",2006-03-01,17
"AR",2006-04-01,24
"AR",2006-05-01,26
"AR",2006-06-01,23
"AR",2006-07-01,28
"AR",2006-08-01,11
"AR",2006-09-01,17
"AR",2006-10-01,17
"AR",2006-11-01,16
"AR",2006-12-01,10
"AR",2007-01-01,14
"AR",2007-02-01,7
"AR",2007-03-01,22
"AR",2007-04-01,11
"AR",2007-05-01,28
"AR",2007-06-01,26
"AR",2007-07-01,18
"AR",2007-08-01,28
"AR",2007-09-01,11
"AR",2007-10-01,20
"AR",2007-11-01,7
"AR",2007-12-01,5
"AR",2008-01-01,10
"AR",2008-02-01,17
"AR",2008-03-01,12
"AR",2008-04-01,19
"AR",2008-05-01,26
"AR",2008-06-01,25
"AR",2008-07-01,15
"AR",2008-08-01,15
"AR",2008-09-01,6
"AR",2008-10-01,11
"AR",2008-11-01,16
"AR",2008-12-01,13
"AR",2009-01-01,18
"AR",2009-02-01,6
"AR",2009-03-01,15
"AR",2009-04-01,19
"AR",2009-05-01,8
"AR",2009-06-01,19
"AR",2009-07-01,12
"AR",2009-08-01,15
"AR",2009-09-01,20
"AR",2009-10-01,10
"AR",2009-11-01,6
"AR",2009-12-01,5
"AR",2010-01-01,8
"AR",2010-02-01,9
"AR",2010-03-01,20
"AR",2010-04-01,13
"AR",2010-05-01,10
"AR",2010-06-01,21
"AR",2010-07-01,19
"AR",2010-08-01,17
"AR",2010-09-01,14
"AR",2010-10-01,17
"AR",2010-11-01,12
"AR",2010-12-01,9
"AR",2011-01-01,8
"AR",2011-02-01,15
"AR",2011-03-01,12
"AR",2011-04-01,14
"AR",2011-05-01,17
"AR",2011-06-01,23
"AR",2011-07-01,17
"AR",2011-08-01,21
"AR",2011-09-01,16
"AR",2011-10-01,7
"AR",2011-11-01,6
"AR",2011-12-01,7
"AR",2012-01-01,16
"AR",2012-02-01,7
"AR",2012-03-01,9
"AR",2012-04-01,10
"AR",2012-05-01,19
"AR",2012-06-01,17
"AR",2012-07-01,22
"AR",2012-08-01,27
"AR",2012-09-01,15
"AR",2012-10-01,12
"AR",2012-11-01,12
"AR",2012-12-01,16
"AR",2013-01-01,14
"AR",2013-02-01,12
"AR",2013-03-01,15
"AR",2013-04-01,16
"AR",2013-05-01,24
"AR",2013-06-01,19
"AR",2013-07-01,13
"AR",2013-08-01,19
"AR",2013-09-01,10
"AR",2013-10-01,12
"AR",2013-11-01,9
"AR",2013-12-01,7
"AR",2014-01-01,13
"AR",2014-02-01,6
"AR",2014-03-01,23
"AR",2014-04-01,10
"AR",2014-05-01,18
"AR",2014-06-01,20
"AR",2014-07-01,12
"AR",2014-08-01,12
"AR",2014-09-01,17
"AR",2014-10-01,9
"AR",2014-11-01,13
"AR",2014-12-01,8
"AR",2015-01-01,4
"AR",2015-02-01,9
"AR",2015-03-01,23
"AR",2015-04-01,10
"AR",2015-05-01,18
"AR",2015-06-01,15
"AR",2015-07-01,30
"AR",2015-08-01,20
"AR",2015-09-01,19
"AR",2015-10-01,26
"AR",2015-11-01,5
"AR",2015-12-01,10
"AR",2016-01-01,9
"AR",2016-02-01,11
"AR",2016-03-01,8
"AR",2016-04-01,19
"AR",2016-05-01,17
"AR",2016-06-01,21
"AR",2016-07-01,16
"AR",2016-08-01,13
"AR",2016-09-01,8
"AZ",2000-01-01,20
"AZ",2000-02-01,24
"AZ",2000-03-01,14
"AZ",2000-04-01,17
"AZ",2000-05-01,22
"AZ",2000-06-01,20
"AZ",2000-07-01,21
"AZ",2000-08-01,13
"AZ",2000-09-01,10
"AZ",2000-10-01,12
"AZ",2000-11-01,17
"AZ",2000-12-01,12
"AZ",2001-01-01,17
"AZ",2001-02-01,23
"AZ",2001-03-01,9
"AZ",2001-04-01,20
"AZ",2001-05-01,19
"AZ",2001-06-01,26
"AZ",2001-07-01,20
"AZ",2001-08-01,17
"AZ",2001-09-01,10
"AZ",2001-10-01,29
"AZ",2001-11-01,20
"AZ",2001-12-01,9
"AZ",2002-01-01,13
"AZ",2002-02-01,17
"AZ",2002-03-01,20
"AZ",2002-04-01,17
"AZ",2002-05-01,12
"AZ",2002-06-01,9
"AZ",2002-07-01,16
"AZ",2002-08-01,24
"AZ",2002-09-01,34
"AZ",2002-10-01,15
"AZ",2002-11-01,13
"AZ",2002-12-01,12
"AZ",2003-01-01,18
"AZ",2003-02-01,21
"AZ",2003-03-01,15
"AZ",2003-04-01,25
"AZ",2003-05-01,16
"AZ",2003-06-01,12
"AZ",2003-07-01,27
"AZ",2003-08-01,20
"AZ",2003-09-01,15
"AZ",2003-10-01,30
"AZ",2003-11-01,16
"AZ",2003-12-01,16
"AZ",2004-01-01,15
"AZ",2004-02-01,20
"AZ",2004-03-01,22
"AZ",2004-04-01,25
"AZ",2004-05-01,17
"AZ",2004-06-01,14
"AZ",2004-07-01,19
"AZ",2004-08-01,35
"AZ",2004-09-01,20
"AZ",2004-10-01,18
"AZ",2004-11-01,15
"AZ",2004-12-01,11
"AZ",2005-01-01,11
"AZ",2005-02-01,25
"AZ",2005-03-01,30
"AZ",2005-04-01,26
"AZ",2005-05-01,26
"AZ",2005-06-01,24
"AZ",2005-07-01,16
"AZ",2005-08-01,31
"AZ",2005-09-01,30
"AZ",2005-10-01,27
"AZ",2005-11-01,20
"AZ",2005-12-01,18
"AZ",2006-01-01,23
"AZ",2006-02-01,27
"AZ",2006-03-01,35
"AZ",2006-04-01,32
"AZ",2006-05-01,47
"AZ",2006-06-01,34
"AZ",2006-07-01,25
"AZ",2006-08-01,39
"AZ",2006-09-01,33
"AZ",2006-10-01,35
"AZ",2006-11-01,15
"AZ",2006-12-01,26
"AZ",2007-01-01,44
"AZ",2007-02-01,26
"AZ",2007-03-01,30
"AZ",2007-04-01,24
"AZ",2007-05-01,34
"AZ",2007-06-01,25
"AZ",2007-07-01,26
"AZ",2007-08-01,26
"AZ",2007-09-01,20
"AZ",2007-10-01,25
"AZ",2007-11-01,32
"AZ",2007-12-01,28
"AZ",2008-01-01,18
"AZ",2008-02-01,27
"AZ",2008-03-01,18
"AZ",2008-04-01,25
"AZ",2008-05-01,20
"AZ",2008-06-01,35
"AZ",2008-07-01,47
"AZ",2008-08-01,24
"AZ",2008-09-01,33
"AZ",2008-10-01,45
"AZ",2008-11-01,21
"AZ",2008-12-01,21
"AZ",2009-01-01,17
"AZ",2009-02-01,16
"AZ",2009-03-01,17
"AZ",2009-04-01,27
"AZ",2009-05-01,22
"AZ",2009-06-01,30
"AZ",2009-07-01,31
"AZ",2009-08-01,16
"AZ",2009-09-01,18
"AZ",2009-10-01,15
"AZ",2009-11-01,7
"AZ",2009-12-01,15
"AZ",2010-01-01,15
"AZ",2010-02-01,12
"AZ",2010-03-01,15
"AZ",2010-04-01,17
"AZ",2010-05-01,16
"AZ",2010-06-01,29
"AZ",2010-07-01,32
"AZ",2010-08-01,27
"AZ",2010-09-01,18
"AZ",2010-10-01,11
"AZ",2010-11-01,23
"AZ",2010-12-01,24
"AZ",2011-01-01,24
"AZ",2011-02-01,20
"AZ",2011-03-01,24
"AZ",2011-04-01,31
"AZ",2011-05-01,28
"AZ",2011-06-01,30
"AZ",2011-07-01,37
"AZ",2011-08-01,38
"AZ",2011-09-01,22
"AZ",2011-10-01,24
"AZ",2011-11-01,17
"AZ",2011-12-01,17
"AZ",2012-01-01,18
"AZ",2012-02-01,17
"AZ",2012-03-01,23
"AZ",2012-04-01,26
"AZ",2012-05-01,26
"AZ",2012-06-01,22
"AZ",2012-07-01,15
"AZ",2012-08-01,40
"AZ",2012-09-01,21
"AZ",2012-10-01,31
"AZ",2012-11-01,15
"AZ",2012-12-01,8
"AZ",2013-01-01,21
"AZ",2013-02-01,17
"AZ",2013-03-01,26
"AZ",2013-04-01,20
"AZ",2013-05-01,30
"AZ",2013-06-01,30
"AZ",2013-07-01,45
"AZ",2013-08-01,24
"AZ",2013-09-01,28
"AZ",2013-10-01,28
"AZ",2013-11-01,14
"AZ",2013-12-01,17
"AZ",2014-01-01,22
"AZ",2014-02-01,16
"AZ",2014-03-01,30
"AZ",2014-04-01,20
"AZ",2014-05-01,31
"AZ",2014-06-01,29
"AZ",2014-07-01,27
"AZ",2014-08-01,23
"AZ",2014-09-01,32
"AZ",2014-10-01,22
"AZ",2014-11-01,26
"AZ",2014-12-01,16
"AZ",2015-01-01,23
"AZ",2015-02-01,18
"AZ",2015-03-01,34
"AZ",2015-04-01,32
"AZ",2015-05-01,18
"AZ",2015-06-01,41
"AZ",2015-07-01,37
"AZ",2015-08-01,41
"AZ",2015-09-01,39
"AZ",2015-10-01,34
"AZ",2015-11-01,10
"AZ",2015-12-01,23
"AZ",2016-01-01,31
"AZ",2016-02-01,23
"AZ",2016-03-01,26
"AZ",2016-04-01,23
"AZ",2016-05-01,37
"AZ",2016-06-01,36
"AZ",2016-07-01,27
"AZ",2016-08-01,34
"AZ",2016-09-01,15
"CA",2000-01-01,97
"CA",2000-02-01,90
"CA",2000-03-01,106
"CA",2000-04-01,100
"CA",2000-05-01,101
"CA",2000-06-01,111
"CA",2000-07-01,119
"CA",2000-08-01,115
"CA",2000-09-01,87
"CA",2000-10-01,113
"CA",2000-11-01,75
"CA",2000-12-01,100
"CA",2001-01-01,106
"CA",2001-02-01,83
"CA",2001-03-01,104
"CA",2001-04-01,99
"CA",2001-05-01,139
"CA",2001-06-01,126
"CA",2001-07-01,157
"CA",2001-08-01,128
"CA",2001-09-01,102
"CA",2001-10-01,124
"CA",2001-11-01,82
"CA",2001-12-01,65
"CA",2002-01-01,66
"CA",2002-02-01,67
"CA",2002-03-01,90
"CA",2002-04-01,93
"CA",2002-05-01,92
"CA",2002-06-01,82
"CA",2002-07-01,85
"CA",2002-08-01,124
"CA",2002-09-01,128
"CA",2002-10-01,99
"CA",2002-11-01,76
"CA",2002-12-01,71
"CA",2003-01-01,85
"CA",2003-02-01,93
"CA",2003-03-01,103
"CA",2003-04-01,103
"CA",2003-05-01,109
"CA",2003-06-01,102
"CA",2003-07-01,125
"CA",2003-08-01,134
"CA",2003-09-01,90
"CA",2003-10-01,102
"CA",2003-11-01,62
"CA",2003-12-01,70
"CA",2004-01-01,74
"CA",2004-02-01,110
"CA",2004-03-01,110
"CA",2004-04-01,93
"CA",2004-05-01,109
"CA",2004-06-01,111
